movie_id,cast_id,name,character,order
1087192,9,메이슨 세임스,Hiccup,0
1087192,10,니코 파커,Astrid,1
1087192,12,제라드 버틀러,Stoick,2
1087192,13,닉 프로스트,Gobber,3
1087192,15,Gabriel Howell,Snoutlout,4
1087192,14,Julian Dennison,Fishlegs,5
1087192,16,Bronwyn James,Ruffnut,6
1087192,17,Harry Trevaldwyn,Tuffnut,7
1087192,45,Murray McArthur,Hoark,8
1087192,44,Peter Serafinowicz,Spitelout,9
1087192,67,Naomi Wirthner,Gothi,10
1071585,16,Jenna Davis,M3GAN (voice),0
1071585,5,앨리슨 윌리엄스,Gemma,1
1071585,6,바이올렛 맥그로,Cady,2
1071585,19,Іванна Сахно,AMELIA,3
1071585,17,Amie Donald,M3GAN,4
1071585,27,브라이언 조던 알바레스,Cole,5
1071585,28,Jen Van Epps,Tess,6
1071585,29,Aristotle Athari,Christian Bradley,7
1071585,24,Timm Sharp,Agent Tim Sattler,8
1071585,26,저메인 클레멘트,Alton Appleton,9
1071585,48,Mayen Mehta,Naveen Tripathi,10
552524,23,Maia Kealoha,Lilo,0
552524,25,Sydney Agudong,Nani,1
552524,18,크리스 샌더스,Stitch (voice),2
552524,19,잭 갤리퍼내키스,Jumba,3
552524,24,빌리 매그너슨,Pleakley,4
552524,27,코트니 B. 밴스,Cobra Bubbles,5
552524,30,Amy Hill,Tūtū,6
552524,29,Tia Carrere,Mrs. Kekoa,7
552524,28,Kaipo Dudoit,David,8
552524,39,해나 워딩엄,Grand Councilwoman (voice),9
552524,40,제이슨 스콧 리,Lū'au Manager,10
1311031,2,하나에 나츠키,Tanjiro Kamado (voice),0
1311031,4,키토 아카리,Nezuko Kamado (voice),1
1311031,3,마츠오카 요시츠구,Inosuke Hashibira (voice),2
1311031,1,시모노 히로,Zenitsu Agatsuma (voice),3
1311031,10,세키 토시히코,Muzan Kibutsuji (voice),4
1311031,23,우에다 레이나,Kanao Tsuyuri (voice),5
1311031,24,오카모토 노부히코,Genya Shinazugawa (voice),6
1311031,25,사쿠라이 타카히로,Giyu Tomioka (voice),7
1311031,26,코니시 카츠유키,Tengen Uzui (voice),8
1311031,27,카와니시 켄고,Muichiro Tokito (voice),9
1311031,28,하야미 사오리,Shinobu Kocho (voice),10
1315986,17,존 보이트,Sanborn,0
1315986,13,Adam Woodward,Ryder,1
1315986,18,마튼 초카스,Soach,2
1315986,19,Charlotte Vega,Morgan,3
1315986,11,Philip Winchester,Jack,4
1315986,20,Charlotte Weston,Shelly,5
1315986,15,Jeff Alexander,Timmons,6
1315986,12,Nathan Cooper,Clerk,7
1315986,10,Tim Fellingham,Roger Hammond,8
1315986,21,Anaya Yalamov,Annie Hammond,9
1315986,14,Nico Seedsman,Thug,10
1061474,16,데이비드 코런스웻,Superman,0
1061474,17,레이첼 브로스나한,Lois Lane,1
1061474,24,니콜라스 홀트,Lex Luthor,2
1061474,20,에디 가세기,Mr. Terrific,3
1061474,21,네이선 필리언,Guy Gardner,4
1061474,18,이사벨라 메르세드,Hawkgirl,5
1061474,23,María Gabriela de Faría,The Engineer,6
1061474,26,스카일러 거손도,Jimmy Olsen,7
1061474,81,앨런 튜딕,Gary,8
1061474,186,Grace Chan,Superman Robot #12 (voice),9
1061474,197,브래들리 쿠퍼,Jor-El,10
1011477,2,성룡,Mr. Han,0
1011477,61,Ben Wang,Li Fong,1
1011477,9,조슈아 잭슨,Victor Lipani,2
1011477,10,Sadie Stanley,Mia Lipani,3
1011477,11,밍나 원,Dr. Fong,4
